seed,dimension,solution,calls,termination,time
1,20,-1.5315296315467135,2106,OPTIMAL,135.490361
1,25,4.732725723895142,2362,OPTIMAL,298.882777
1,30,-30.20766608037439,3870,TIME_LIMIT,1800.001269
1,35,7.5542870779353555,1615,OPTIMAL,184.699748
1,40,134.31687696882577,6539,TIME_LIMIT,1800.003996
1,45,7.1729607765748495,1391,TIME_LIMIT,1800.007734
1,50,6.244430695869945,934,TIME_LIMIT,1800.004589
1,55,16.533886380781954,2381,TIME_LIMIT,1800.000318
1,60,3.6840923974437896,422,TIME_LIMIT,1800.016487
1,65,20.62968824774245,281,TIME_LIMIT,1800.019023
1,70,-12.826309119810581,2017,TIME_LIMIT,1800.004581
1,75,25.73207593562588,316,TIME_LIMIT,1800.020619
1,80,27.70958226672222,338,TIME_LIMIT,1800.027311
1,85,Inf,Inf,ERROR,1800.0
1,90,12.92164349567756,437,TIME_LIMIT,1800.012116
1,95,37.00155529488825,498,TIME_LIMIT,1800.019302
1,100,8.07146914446472,343,TIME_LIMIT,1800.023399
1,105,30.269998648062987,553,TIME_LIMIT,1800.012567
1,110,-0.005832714824290819,338,TIME_LIMIT,1800.017144
1,115,39.835672346099095,200,TIME_LIMIT,1800.066547
1,120,Inf,Inf,ERROR,1800.0
2,20,-9.114481093385423,967,OPTIMAL,25.924939
2,25,5.401151430831927,798,OPTIMAL,24.842851
2,30,-4.671675210026354,6880,TIME_LIMIT,1800.050596
2,35,4.642555494445428,2856,OPTIMAL,1581.258123
2,40,42.85860134303687,4629,TIME_LIMIT,1800.010634
2,45,6.59246123319312,991,TIME_LIMIT,1800.003652
2,50,10.719428552630268,2305,TIME_LIMIT,1800.001006
2,55,2.8591286109570646,800,TIME_LIMIT,1800.008809
2,60,4.813401849809587,364,TIME_LIMIT,1800.015088
2,65,22.86321612137201,491,TIME_LIMIT,1800.023094
2,70,2.4709166107842373,511,TIME_LIMIT,1800.010113
2,75,20.815937474947617,274,TIME_LIMIT,1800.020693
2,80,14.102527007992538,452,TIME_LIMIT,1800.011807
2,85,16.440518933320238,323,TIME_LIMIT,1800.019464
2,90,25.976015655248993,391,TIME_LIMIT,1800.012845
2,95,5.389103186669754,322,TIME_LIMIT,1800.010913
2,100,8.533716489402124,809,TIME_LIMIT,1800.010996
2,105,Inf,Inf,ERROR,1800.0
2,110,Inf,Inf,ERROR,1800.0
2,115,Inf,Inf,ERROR,1800.0
2,120,30.969590987246317,173,TIME_LIMIT,1800.01372
3,20,4.20407077799835,486,OPTIMAL,5.394477
3,25,-1.2079100763198598,1879,OPTIMAL,201.770779
3,30,-11.537165192823643,4844,TIME_LIMIT,1800.003414
3,35,1.0686963006630368,6923,TIME_LIMIT,1800.004277
3,40,10.050698707324818,2532,TIME_LIMIT,1800.001815
3,45,7.176948491008777,591,TIME_LIMIT,1800.007974
3,50,3.8309818791294137,891,TIME_LIMIT,1800.00391
3,55,6.789345288370987,664,TIME_LIMIT,1800.008236
3,60,22.54049949269083,261,TIME_LIMIT,1800.016121
3,65,3.6923708473589207,365,TIME_LIMIT,1800.012101
3,70,1.100469925482236,656,TIME_LIMIT,1800.011153
3,75,4.795803485312963,1042,TIME_LIMIT,1800.010842
3,80,28.587959557591606,359,TIME_LIMIT,1800.018457
3,85,16.338886103330953,363,TIME_LIMIT,1800.011905
3,90,8.285236923504623,731,TIME_LIMIT,1800.019091
3,95,14.163316565833426,523,TIME_LIMIT,1800.010525
3,100,Inf,Inf,ERROR,1800.0
3,105,6.972296327157139,310,TIME_LIMIT,1800.013614
3,110,1.846798747808414,506,TIME_LIMIT,1800.004938
3,115,6.831804241942962,839,TIME_LIMIT,1800.006758
3,120,Inf,Inf,ERROR,1800.0
4,20,-0.10255377782761954,2564,OPTIMAL,403.880861
4,25,3.9673796980592613,725,OPTIMAL,17.025445
4,30,4.469739487754895,1314,OPTIMAL,83.150642
4,35,9.528010025567454,3694,TIME_LIMIT,1800.005795
4,40,8.395186527903489,4330,TIME_LIMIT,1800.001355
4,45,1.8031071747575897,3457,TIME_LIMIT,1800.002305
4,50,24.79228384219391,824,TIME_LIMIT,1800.005979
4,55,12.475944708114746,1468,TIME_LIMIT,1800.001283
4,60,11.370784314116346,288,TIME_LIMIT,1800.019948
4,65,29.45516706585402,490,TIME_LIMIT,1800.019358
4,70,15.542478939251994,586,TIME_LIMIT,1800.015401
4,75,34.01378832352121,365,TIME_LIMIT,1800.017998
4,80,30.11476263577444,304,TIME_LIMIT,1800.01901
4,85,4.5280720569760415,464,TIME_LIMIT,1800.016036
4,90,Inf,Inf,ERROR,1800.0
4,95,24.134144560351366,411,TIME_LIMIT,1800.028479
4,100,18.328537019635462,321,TIME_LIMIT,1800.023525
4,105,45.889283563996415,318,TIME_LIMIT,1800.016175
4,110,27.4526804611395,505,TIME_LIMIT,1800.037062
4,115,54.10324424927498,232,TIME_LIMIT,1800.018065
4,120,Inf,Inf,ERROR,1800.0
5,20,-9.518173438085164,1416,OPTIMAL,72.045958
5,25,2.3737311201025513,755,OPTIMAL,33.112584
5,30,3.9430969761913413,3749,OPTIMAL,1384.747357
5,35,6.94535893937668,3604,TIME_LIMIT,1800.001642
5,40,11.922490028096933,560,TIME_LIMIT,1800.01234
5,45,10.921282857302767,676,TIME_LIMIT,1800.005914
5,50,6.005299656980718,817,TIME_LIMIT,1800.00516
5,55,4.652998840942775,369,TIME_LIMIT,1800.008942
5,60,3.453743826881639,788,TIME_LIMIT,1800.007306
5,65,17.902513334566137,776,TIME_LIMIT,1800.007523
5,70,15.471133606677848,705,TIME_LIMIT,1800.019121
5,75,25.953421432208962,424,TIME_LIMIT,1800.026451
5,80,24.85272166023212,856,TIME_LIMIT,1800.010408
5,85,23.455329038984758,276,TIME_LIMIT,1800.025342
5,90,11.1684380776781,294,TIME_LIMIT,1800.030937
5,95,8.33929777586076,508,TIME_LIMIT,1800.00793
5,100,5.316123815624918,692,TIME_LIMIT,1800.010664
5,105,26.112555512940553,373,TIME_LIMIT,1800.026131
5,110,22.583468050559773,274,TIME_LIMIT,1800.011206
5,115,36.703914772392196,563,TIME_LIMIT,1800.043706
5,120,39.81634347473233,368,TIME_LIMIT,1800.009983
6,20,1.6345951570202115,173,OPTIMAL,1.523241
6,25,0.5219133828725075,2635,OPTIMAL,216.368952
6,30,4.1042310020910735,1954,OPTIMAL,429.711669
6,35,-11.836030281858962,5492,TIME_LIMIT,1800.00513
6,40,43.96226443863474,4281,TIME_LIMIT,1800.002665
6,45,5.1358384296536395,915,TIME_LIMIT,1800.00586
6,50,10.784286576647256,569,TIME_LIMIT,1800.018857
6,55,3.8232969275369757,866,TIME_LIMIT,1800.010478
6,60,16.422043526372185,368,TIME_LIMIT,1800.012954
6,65,6.669953528902973,642,TIME_LIMIT,1800.007163
6,70,19.20500127073272,371,TIME_LIMIT,1800.008396
6,75,0.6011658892109181,395,TIME_LIMIT,1800.017087
6,80,Inf,Inf,ERROR,1800.0
6,85,11.42831227230554,354,TIME_LIMIT,1800.015144
6,90,19.224274085828043,517,TIME_LIMIT,1800.011301
6,95,8.969032402525135,714,TIME_LIMIT,1800.033097
6,100,30.71444381615608,274,TIME_LIMIT,1800.019934
6,105,11.621441377197824,330,TIME_LIMIT,1800.021
6,110,35.09270500791037,245,TIME_LIMIT,1800.019285
6,115,1.4543953101545224,242,TIME_LIMIT,1800.096542
6,120,9.647218333355937,263,TIME_LIMIT,1800.02972
7,20,1.0308683856149163,919,OPTIMAL,6.919836
7,25,4.055233437085842,662,OPTIMAL,15.377273
7,30,Inf,Inf,ERROR,1800.0
7,35,3.6646181551405608,4540,TIME_LIMIT,1800.015037
7,40,5.2592356920605745,4149,TIME_LIMIT,1800.000464
7,45,1.364610868033974,3171,TIME_LIMIT,1800.005411
7,50,4.956963692098914,527,TIME_LIMIT,1800.006341
7,55,3.5777533798344887,706,TIME_LIMIT,1800.012878
7,60,9.559635003104535,683,TIME_LIMIT,1800.014805
7,65,22.886597961543828,540,TIME_LIMIT,1800.013663
7,70,46.75189974850544,527,TIME_LIMIT,1800.018308
7,75,11.624786365102642,363,TIME_LIMIT,1800.016441
7,80,20.94811902059729,261,TIME_LIMIT,1800.02261
7,85,2.6904411771336427,1146,TIME_LIMIT,1800.003809
7,80,Inf,Inf,ERROR,1800.0
7,95,12.282632263765725,650,TIME_LIMIT,1800.008653
7,100,16.573643163485354,399,TIME_LIMIT,1800.018673
7,105,34.32357068176857,382,TIME_LIMIT,1800.02054
7,110,70.48526187614401,311,TIME_LIMIT,1800.011322
7,115,18.00695114109351,352,TIME_LIMIT,1800.015667
7,120,31.028440729609134,315,TIME_LIMIT,1800.010865
8,20,-4.224283350954455,1292,OPTIMAL,27.599662
8,25,-10.469649572140089,2510,OPTIMAL,423.373634
8,30,6.811805195773367,1480,OPTIMAL,187.237276
8,35,4.825911806503888,2637,OPTIMAL,702.683864
8,40,4.70014253687671,3463,TIME_LIMIT,1800.018086
8,45,-11.817676972737797,5024,TIME_LIMIT,1800.004313
8,50,22.681334570723134,586,TIME_LIMIT,1800.007094
8,55,4.007574320773176,264,TIME_LIMIT,1800.022878
8,60,3.674860786281873,1490,TIME_LIMIT,1800.009403
8,65,3.479469920805877,731,TIME_LIMIT,1800.008091
8,70,21.739978270468175,432,TIME_LIMIT,1800.019542
8,75,15.866489556161685,327,TIME_LIMIT,1800.017446
8,80,12.895624751809668,336,TIME_LIMIT,1800.018842
8,85,0.8749843398243128,705,TIME_LIMIT,1800.01292
8,90,43.11492175308045,228,TIME_LIMIT,1800.024937
8,95,9.220980073552878,313,TIME_LIMIT,1800.017045
8,100,Inf,Inf,ERROR,1800.0
8,105,5.687279390903134,500,TIME_LIMIT,1800.021656
8,110,41.69573171694655,635,TIME_LIMIT,1800.01758
8,115,32.9985097665497,333,TIME_LIMIT,1800.03334
8,120,18.222100034663296,256,TIME_LIMIT,1800.042884
9,20,3.281690721113521,1094,OPTIMAL,17.261987
9,25,2.502879641257057,2807,OPTIMAL,302.611973
9,30,5.928429051887901,1505,OPTIMAL,105.964026
9,35,6.4744306833940115,1946,OPTIMAL,370.055665
9,40,2.338040100512968,603,TIME_LIMIT,1800.011648
9,45,13.649255096913308,2576,TIME_LIMIT,1800.002193
9,50,3.0236218970661763,1369,TIME_LIMIT,1800.003871
9,55,17.74788524763608,597,TIME_LIMIT,1800.013746
9,60,17.16879173895233,491,TIME_LIMIT,1800.022161
9,65,14.251856272830013,315,TIME_LIMIT,1800.013469
9,70,27.432109391095096,322,TIME_LIMIT,1800.018408
9,75,18.2335206761404,325,TIME_LIMIT,1800.016767
9,80,8.943418451910242,594,TIME_LIMIT,1800.017282
9,85,5617.43616481765,1394,TIME_LIMIT,1800.005709
9,90,4.757371660117684,360,TIME_LIMIT,1800.010051
9,95,40.1320761213731,229,TIME_LIMIT,1800.030085
9,100,28.905567883017053,706,TIME_LIMIT,1800.012451
9,105,31.098513196895475,513,TIME_LIMIT,1800.040653
9,110,51.10794878652421,188,TIME_LIMIT,1800.012095
9,115,46.334721754141086,243,TIME_LIMIT,1800.021974
9,120,Inf,Inf,ERROR,1800.0
10,20,3.040937056967797,320,OPTIMAL,3.157259
10,25,3.816539012601858,1832,OPTIMAL,50.273285
10,30,2.2298718427704154,2330,OPTIMAL,120.944291
10,35,1.4572992987699853,3760,TIME_LIMIT,1800.008033
10,40,9.633271951403824,2170,TIME_LIMIT,1800.010768
10,45,9.328100522892324,3130,TIME_LIMIT,1800.003219
10,50,22.325513619357736,555,TIME_LIMIT,1800.006179
10,55,16.97963001142464,923,TIME_LIMIT,1800.006648
10,60,18.984829640716814,536,TIME_LIMIT,1800.004992
10,65,18.836504338281756,464,TIME_LIMIT,1800.017787
10,70,Inf,Inf,ERROR,1800.0
10,75,6.077120907338169,312,TIME_LIMIT,1800.016234
10,80,21.520349679158862,286,TIME_LIMIT,1800.025379
10,85,34.31363754150962,316,TIME_LIMIT,1800.021468
10,90,35.20488120404845,312,TIME_LIMIT,1800.022219
10,95,36.54737570476721,337,TIME_LIMIT,1800.016671
10,100,39.33056038840306,268,TIME_LIMIT,1800.018133
10,105,32.3980096597131,218,TIME_LIMIT,1800.02077
10,110,28.17310060463158,630,TIME_LIMIT,1800.023467
10,115,9.689647715240365,663,TIME_LIMIT,1800.031886
10,120,31.900532670965347,224,TIME_LIMIT,1800.014505
